Gene,N-FACS (1+2+3),N-T0 (2+3),N-T3 (1+2+3)
CG33774,23.49009416,23.89673579,20.34806738
CG33775,0.284113867,0.193681133,0.114369066
CG33777,0.09587667,0,0
CG33783,0.031214078,0,0.152492089
CG33784,0,0,0.039402174
CG33785,0,0,0
CG33786,0,0,0
CG33791,0,0,0
CG33792,0.064662592,0.089598621,0.174330744
CG33795,0.093642235,0.052041256,0.077525197
CG33796,0.031214078,0,0.0326949
CG33798,0.031214078,0,0
CG3386,10.48206256,12.00470394,13.40813963
CG33912,0,0,0
CG33914,4.593663505,0.104082512,0.115648219
CG33919,0.126761766,0,0.038123022
CG33920,0.031214078,0,0
CG33922,0,0,0
CG33923,0,0,0
CG33926,0.093642235,1.110045539,0.771540676
CG33927,0.093642235,0,0
CG33928,0,0.052041256,0
CG33932,0,0,0
CG33934,0,0,0
CG3394,1.014786315,0.739862442,0.507549339
CG33958,0.321078524,0,0
CG33964,0,0,0
CG33965,0.031214078,0.052041256,0.115648219
CG33966,0.121011187,0.052041256,0.114369066
CG33969,32.9620784,64.26664521,67.66763385
CG3397,0.434399458,1.552144337,6.770342139
CG33970,0.127090749,0.245722388,0.251855941
CG33977,10.53736814,11.98432575,8.944457594
CG33978,3.588426738,5.599573676,15.72484058
CG33981,0,0,0
CG33985,0,0,0
